t
0
0.066
0.13
0.151
0.194
0.28
0.301
0.345
0.367
0.452
0.474
0.495
0.582
0.646
0.668
0.731
0.796
0.817
0.862
0.927
0.947
1.011
1.075
1.096
1.139
1.205
1.226
1.269
1.354
1.441
1.527
1.592
1.612
1.677
1.721
1.742
1.785
1.87
1.893
1.935
2.044
2.151
2.214
2.236
2.3
2.344
2.366
2.43
2.494
2.515
2.558
2.624
2.645
2.688
2.773
2.794
2.837
2.904
2.924
2.967
3.053
3.075
3.117
3.183
3.29
3.353
3.439
3.461
3.483
3.57
3.591
3.634
3.74
3.762
3.764
3.784
3.806
3.827
3.849
3.87
3.912
3.998
4.085
4.149
4.234
4.321
4.344
4.365
4.472
4.492
4.535
4.557
4.578
4.645
4.665
4.751
4.815
4.836
4.901
4.945
4.966
5.031
5.094
5.116
5.18
5.182
5.267
5.332
5.353
5.417
5.462
5.503
5.547
5.611
5.631
5.696
5.76
5.782
5.805
5.89
5.912
5.954
6.04
6.061
6.084
6.17
6.191
6.234
6.319
6.406
6.428
6.449
6.471
6.514
6.599
6.686
6.793
6.814
6.835
6.857
6.878
6.987
7.072
7.094
7.114
7.136
7.157
7.203
7.266
7.287
7.373
7.395
7.415
7.482
7.545
7.567
7.631
7.695
7.717
7.781
7.783
7.868
7.932
7.954
8.017
8.062
8.083
8.147
8.255
8.342
8.383
8.385
8.491
8.513
8.534
8.64
8.662
8.664
8.77
8.792
8.813
8.92
8.964
8.985
9.05
9.114
9.135
9.199
9.244
9.265
9.329
9.394
9.414
9.479
9.5
9.566
9.63
9.652
9.715
9.78
9.801
9.845
9.867
9.953
10.017
10.038
10.082
10.146
10.167
10.232
10.296
10.317
10.361
10.425
10.447
10.49
10.576
10.596
10.639
10.706
10.726
10.769
10.854
10.941
11.007
11.092
11.113
11.156
11.222
11.242
11.285
11.371
11.393
11.436
11.523
11.544
11.564
11.586
11.607
11.629
11.65
11.672
11.715
11.8
11.887
11.951
12.037
12.058
12.079
12.166
12.231
12.252
12.317
12.38
12.402
12.446
12.467
12.532
12.575
12.66
12.681
12.683
12.79
12.811
12.833
12.939
12.984
13.005
13.069
13.133
13.155
13.218
13.263
13.285
13.348
13.413
13.434
13.498
13.543
13.564
13.607
13.692
13.714
13.757
13.822
13.844
13.886
13.972
13.993
14.036
14.102
14.208
14.273
14.359
14.379
14.403
14.488
14.595
14.658
14.724
14.746
14.788
14.874
14.896
14.938
15.046
15.068
15.089
15.154
15.218
15.239
15.284
15.347
15.37
15.433
15.498
15.518
15.563
15.585
15.67
15.734
15.756
15.82
15.864
15.885
15.949
16.014
16.035
16.098
16.143
16.164
16.207
16.294
16.314
16.357
16.423
16.444
16.486
16.572
16.68
16.725
16.873
16.959
17.003
17.025
17.088
17.153
17.174
17.239
17.283
17.304
17.368
17.432
17.454
17.518
17.562
17.583
17.648
17.669
17.754
17.819
17.84
17.884
17.948
17.971
18.034
18.098
18.12
18.164
18.184
18.27
18.335
18.356
18.421
18.464
18.486
18.55
18.614
18.636
18.7
18.744
18.766
18.809
18.894
18.915
18.958
19.025
